id,title,contaminante,nivel,value,fecha,year
420010826no2,Miguel Servet,no2,Razonablemente buena,76,26-08-2001,2001
420010826co,Miguel Servet,co,Buena,1,26-08-2001,2001
520010826o3,Luis Vives,o3,Buena,43,26-08-2001,2001
320010826so2,El Paraninfo,so2,Buena,11,26-08-2001,2001
320010826o3,El Paraninfo,o3,Buena,30,26-08-2001,2001
420010827o3,Miguel Servet,o3,Buena,13,27-08-2001,2001
620010827no2,Avenida de Navarra,no2,Razonablemente buena,89,27-08-2001,2001
720010827co,Jaime Ferran,co,Buena,1,27-08-2001,2001
320010827so2,El Paraninfo,so2,Buena,27,27-08-2001,2001
320010827pm10,El Paraninfo,pm10,Regular,48,27-08-2001,2001
220010827pm10,Roger de Flor,pm10,Regular,50,27-08-2001,2001
220010827co,Roger de Flor,co,Buena,1,27-08-2001,2001
120010828co,El Picarral,co,Buena,1,28-08-2001,2001
620010828no2,Avenida de Navarra,no2,Regular,103,28-08-2001,2001
620010828o3,Avenida de Navarra,o3,Buena,29,28-08-2001,2001
320010828no2,El Paraninfo,no2,Razonablemente buena,69,28-08-2001,2001
320010828o3,El Paraninfo,o3,Buena,34,28-08-2001,2001
220010828pm10,Roger de Flor,pm10,Regular,43,28-08-2001,2001
220010828no2,Roger de Flor,no2,Razonablemente buena,59,28-08-2001,2001
420010829no2,Miguel Servet,no2,Razonablemente buena,79,29-08-2001,2001
420010829co,Miguel Servet,co,Buena,1,29-08-2001,2001
620010829o3,Avenida de Navarra,o3,Buena,33,29-08-2001,2001
220010829so2,Roger de Flor,so2,Buena,5,29-08-2001,2001
220010829co,Roger de Flor,co,Buena,1,29-08-2001,2001
620010830pm10,Avenida de Navarra,pm10,Desfavorable,73,30-08-2001,2001
120010830pm10,El Picarral,pm10,Razonablemente buena,39,30-08-2001,2001
120010830sh2,El Picarral,sh2,Buena,1,30-08-2001,2001
420010830no2,Miguel Servet,no2,Razonablemente buena,82,30-08-2001,2001
220010830pm10,Roger de Flor,pm10,Razonablemente buena,37,30-08-2001,2001
620010904co,Avenida de Navarra,co,Buena,1,04-09-2001,2001
120010904co,El Picarral,co,Buena,1,04-09-2001,2001
120010904o3,El Picarral,o3,Buena,36,04-09-2001,2001
120010903no2,El Picarral,no2,Razonablemente buena,72,03-09-2001,2001
120010902no2,El Picarral,no2,Razonablemente buena,42,02-09-2001,2001
